Radiant_Temp,Humidity,Air_Velocity,Optimal_Air_Temp,Min_Abs_PMV
12.5,25,1.6,,inf
12.5,30,0.0,35.0,0.20386084003233737
12.5,30,0.1,35.0,0.2038574642890716
12.5,30,0.2,34.5,0.03112038917640024
12.5,30,0.30000000000000004,33.5,0.018098406126432872
12.5,30,0.4,33.0,0.03641846972568249
12.5,30,0.5,32.5,0.01274809783792676
12.5,30,0.6000000000000001,32.0,0.03918471093510595
12.5,30,0.7000000000000001,32.0,0.022646054783390303
12.5,30,0.8,31.5,0.06270263746979429
12.5,30,0.9,31.5,0.01892566910578059
12.5,30,1.0,31.5,0.01102944140492498
12.5,30,1.1,15.0,5.712911404452076
12.5,30,1.2000000000000002,22.5,15.913455924355205
12.5,30,1.3,,inf
12.5,30,1.4000000000000001,,inf
12.5,30,1.5,,inf
12.5,30,1.6,,inf
12.5,35,0.0,35.0,0.12188708310285795
12.5,35,0.1,35.0,0.12188370735959218
12.5,35,0.2,34.0,0.008732187281061505
12.5,35,0.30000000000000004,33.0,0.019227851304492838
12.5,35,0.4,32.5,0.010972709300590163
12.5,35,0.5,32.0,0.04292780722180484
12.5,35,0.6000000000000001,32.0,0.030135775818033166
12.5,35,0.7000000000000001,31.5,0.04469646679543824
12.5,35,0.8,31.5,0.004683108978117243
12.5,35,0.9,31.5,0.048460077342130946
12.5,35,1.0,31.0,0.06714560761931315
12.5,35,1.1,15.0,5.688048937792411
12.5,35,1.2000000000000002,22.5,15.953192647158607
12.5,35,1.3,,inf
12.5,35,1.4000000000000001,,inf
12.5,35,1.5,,inf
12.5,35,1.6,,inf
12.5,40,0.0,35.0,0.039913326173379074
12.5,40,0.1,35.0,0.0399099504301133
12.5,40,0.2,33.5,0.017650874813380443
12.5,40,0.30000000000000004,33.0,0.05410731397840296
12.5,40,0.4,32.5,0.06033058520151087
12.5,40,0.5,32.0,0.026392679531333754
12.5,40,0.6000000000000001,31.5,0.034571127352123365
12.5,40,0.7000000000000001,31.5,0.022689279652473814
12.5,40,0.8,31.0,0.07016987933065176
12.5,40,0.9,31.0,0.030072925851116417
12.5,40,1.0,31.0,0.0016475137134905483
12.5,40,1.1,15.0,5.663186471132746
12.5,40,1.2000000000000002,22.5,15.992929369962013
12.5,40,1.3,,inf
12.5,40,1.4000000000000001,,inf
12.5,40,1.5,,inf
12.5,40,1.6,,inf
12.5,45,0.0,35.0,0.042060430756099804
12.5,45,0.1,35.0,0.04206380649936558
12.5,45,0.2,33.0,0.04788176929975104
12.5,45,0.30000000000000004,32.5,0.010936209593120642
12.5,45,0.4,32.0,0.0072299108930466375
12.5,45,0.5,31.5,0.034858531083326635
12.5,45,0.6000000000000001,31.5,0.03281461909578764
12.5,45,0.7000000000000001,31.0,0.05009914491287524
12.5,45,0.8,31.0,0.004671785424828637
12.5,45,0.9,31.0,0.03542516805470671
12.5,45,1.0,31.0,0.06385058019233258
12.5,45,1.1,15.0,5.63832400447308
12.5,45,1.2000000000000002,22.5,16.032666092765414
12.5,45,1.3,,inf
12.5,45,1.4000000000000001,,inf
12.5,45,1.5,,inf
12.5,45,1.6,,inf
12.5,50,0.0,34.5,0.0210184229519406
12.5,50,0.1,34.5,0.021655346899922632
12.5,50,0.2,33.0,0.025453395983144753
12.5,50,0.30000000000000004,32.0,0.03585770272400952
12.5,50,0.4,31.5,0.04941115898504951
12.5,50,0.5,31.5,0.0325272153645849
12.5,50,0.6000000000000001,31.0,0.03728854546215177
12.5,50,0.7000000000000001,31.0,0.015398948992947362
12.5,50,0.8,31.0,0.06082630848099397
12.5,50,0.9,30.5,0.04799403944395207
12.5,50,1.0,30.5,0.021687799927084746
12.5,50,1.1,15.0,5.613461537813414
12.5,50,1.2000000000000002,22.5,16.07240281556882
12.5,50,1.3,,inf
12.5,50,1.4000000000000001,,inf
